"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"goundamani","20K+","May 5, 2025 at 12:40:00 PM UTC+5:30",,"goundamani,goundamani wife","https://trends.google.com/trends/explore?q=goundamani&geo=IN&hl=en-US"
"urvil patel","20K+","May 5, 2025 at 5:00:00 PM UTC+5:30",,"urvil patel","https://trends.google.com/trends/explore?q=urvil%20patel&geo=IN&hl=en-US"
"tcs senior employees variable pay cut","10K+","May 5, 2025 at 8:40:00 PM UTC+5:30",,"tcs senior employees variable pay cut,tcs variable pay","https://trends.google.com/trends/explore?q=tcs%20senior%20employees%20variable%20pay%20cut&geo=IN&hl=en-US"
"genoa vs milan","20K+","May 5, 2025 at 11:20:00 PM UTC+5:30",,"genoa vs milan,ac milan,genoa vs ac milan,milan","https://trends.google.com/trends/explore?q=genoa%20vs%20milan&geo=IN&hl=en-US"
"kerala plus one improvement exam result","20K+","May 5, 2025 at 7:30:00 PM UTC+5:30",,"kerala plus one improvement exam result,+1 improvement result,keralaresults-nic-in,dhse improvement result 2025,dhse kerala,plus one result 2025,plus one improvement result,plus one improvement result 2025 kerala,dhse result 2025,keralaresults nic in 2025,dhse result,plus one improvement result date 2025,plus one improvement result 2025 date,keralaresults-nic-in 2025,result. kerala. gov. in,kerala plus one improvement result 2025,kerala result nic,dhse first year improvement result 2025,keralaresults.nic.in 2025,improvement result 2025 date,hse.kerala.gov.in 2025,results.hse.kerala.gov.in.,dhse plus one improvement result 2025,+1 improvement exam result,keralaresults.nic.in.","https://trends.google.com/trends/explore?q=kerala%20plus%20one%20improvement%20exam%20result&geo=IN&hl=en-US"
"mbose hsslc result 2025 meghalaya","20K+","May 5, 2025 at 1:30:00 PM UTC+5:30",,"mbose hsslc result 2025 meghalaya,mbse result 2025,mbse,mbse result,meghalaya mbose hsslc result 2025","https://trends.google.com/trends/explore?q=mbose%20hsslc%20result%202025%20meghalaya&geo=IN&hl=en-US"
"gautam adani","10K+","May 5, 2025 at 4:50:00 PM UTC+5:30",,"gautam adani,adani power","https://trends.google.com/trends/explore?q=gautam%20adani&geo=IN&hl=en-US"
"pawandeep","10K+","May 5, 2025 at 1:50:00 PM UTC+5:30",,"pawandeep","https://trends.google.com/trends/explore?q=pawandeep&geo=IN&hl=en-US"
"what is met gala","10K+","May 6, 2025 at 6:30:00 AM UTC+5:30",,"what is met gala,shah rukh khan,diljit dosanjh met gala,srk met gala,srk,sabyasachi,bollywood","https://trends.google.com/trends/explore?q=what%20is%20met%20gala&geo=IN&hl=en-US"
"united nations","5K+","May 6, 2025 at 10:20:00 AM UTC+5:30",,"united nations,unsc","https://trends.google.com/trends/explore?q=united%20nations&geo=IN&hl=en-US"
"sumitomo mitsui yes bank","20K+","May 6, 2025 at 10:30:00 AM UTC+5:30",,"sumitomo mitsui yes bank,yes bank share,yes bank,yes bank share price,smbc yes bank,yes bank news,smbc","https://trends.google.com/trends/explore?q=sumitomo%20mitsui%20yes%20bank&geo=IN&hl=en-US"
